1101B　台泥乙特	TW0001101B05	2019/01/29	上市		EPNRAR	
1312A　國喬特	TW0001312A01	1988/12/21	上市	塑膠工業	EPNRQR	
2002A　中鋼特	TW0002002A04	1974/12/26	上市	鋼鐵工業	EPRRQR	
2838A　聯邦銀甲特	TW0002838A04	2017/12/01	上市	金融保險業	EPNRAR	
2881A　富邦特	TW0002881A00	2016/05/31	上市	金融保險業	EPNRAR	
2881B　富邦金乙特	TW0002881B09	2018/04/23	上市	金融保險業	EPNRAR	
2882A　國泰特	TW0002882A09	2017/01/17	上市	金融保險業	EPNRAR	
2882B　國泰金乙特	TW0002882B08	2018/08/08	上市	金融保險業	EPNRAR	
2887E　台新戊特	TW0002887E00	2017/02/10	上市	金融保險業	EPNRAR	
2887F　台新戊特二	TW0002887F09	2019/01/08	上市	金融保險業	EPNRAR	
2888A　新光金甲特	TW0002888A03	2019/11/08	上市	金融保險業	EPNRAR	
2891B　中信金乙特	TW0002891B07	2018/01/26	上市	金融保險業	EPNRAR	
2891C　中信金丙特	TW0002891C06	2019/05/06	上市	金融保險業	EPNRAR	
2897A　王道銀甲特	TW0002897A02	2019/01/09	上市	金融保險業	EPNRAR	
3702A　大聯大甲特	TW0003702A05	2019/11/01	上市	電子通路業	EPNNFR	
9941A　裕融甲特	TW0009941A03	2018/11/26	上市	其他業	EPNRFR	
